type,device,json,instruction,input,output
,Radware DefensePro,"{
  ""instruction"": ""配置攻击防御策略以防御各种攻击类型。"",
  ""input"": ""策略名称: 'DDoSProtection'，策略类型: 'DDoS'。"",
  ""output"": ""1. 登录到 Radware DefensePro 的 Web 界面。\n\n2. 导航到 `Security` > `Protection` > `Policies`。\n\n3. 点击 `Create` 按钮以创建新的防御策略。\n\n4. 配置策略参数:\n   a. 在 `Policy Name` 字段中输入 `DDoSProtection`。\n   b. 在 `Policy Type` 字段中选择 `DDoS`。\n\n5. 配置策略详细设置，如防御阈值和响应动作。\n\n6. 点击 `Save` 保存防御策略。\n\n7. 导航到 `Security` > `Protection` > `Policies`。\n\n8. 确保 `DDoSProtection` 策略已启用并验证效果。\n\n9. 验证防御策略配置:\n   ```
   Security > Protection > Policies
   ```""
}
",,,
,Radware DefensePro,"{
  ""instruction"": ""配置异常流量检测以识别异常行为。"",
  ""input"": ""检测名称: 'AnomalyDetection'，检测类型: 'Behavioral'。"",
  ""output"": ""1. 登录到 Radware DefensePro 的 Web 界面。\n\n2. 导航到 `Security` > `Anomaly Detection` > `Settings`。\n\n3. 点击 `Create` 按钮以创建新的异常检测配置。\n\n4. 配置检测参数:\n   a. 在 `Detection Name` 字段中输入 `AnomalyDetection`。\n   b. 在 `Detection Type` 字段中选择 `Behavioral`。\n\n5. 配置检测阈值和响应设置。\n\n6. 点击 `Save` 保存异常检测配置。\n\n7. 导航到 `Security` > `Anomaly Detection` > `Logs`。\n\n8. 确保异常检测已启用并检查检测日志。\n\n9. 验证异常检测配置:\n   ```
   Security > Anomaly Detection > Logs
   ```""
}
",,,
,Radware DefensePro,"{
  ""instruction"": ""配置事件响应以自动处理特定的安全事件。"",
  ""input"": ""响应名称: 'AutoMitigation'，触发条件: 'MaliciousTraffic'，响应动作: 'Throttle'。"",
  ""output"": ""1. 登录到 Radware DefensePro 的 Web 界面。\n\n2. 导航到 `Security` > `Event Response` > `Rules`。\n\n3. 点击 `Create` 按钮以创建新的事件响应规则。\n\n4. 配置规则参数:\n   a. 在 `Response Name` 字段中输入 `AutoMitigation`。\n   b. 在 `Trigger Condition` 字段中选择 `MaliciousTraffic`。\n   c. 在 `Response Action` 字段中选择 `Throttle`。\n\n5. 点击 `Save` 保存事件响应规则。\n\n6. 导航到 `Security` > `Event Response` > `Logs`。\n\n7. 确保 `AutoMitigation` 响应已生效并检查响应日志。\n\n8. 验证事件响应规则配置:\n   ```
   Security > Event Response > Logs
   ```""
}
",,,
,Trend Micro TippingPoint,"{
  ""instruction"": ""配置基本的流量监控以开始流量分析。"",
  ""input"": ""监控接口: 'eth0'，监控级别: 'High'。"",
  ""output"": ""1. 登录到 Trend Micro TippingPoint 的 Web 界面。\n\n2. 导航到 `Network` > `Interfaces`。\n\n3. 选择 `eth0` 接口并点击 `Edit`。\n\n4. 在 `Monitoring Level` 字段中选择 `High`。\n\n5. 点击 `Save` 保存配置。\n\n6. 导航到 `Monitor` > `Traffic`。\n\n7. 确保流量监控已启动并验证 `eth0` 接口的流量数据。\n\n8. 验证流量监控配置:\n   ```
   Monitor > Traffic
   ```""
}
",,,
,Trend Micro TippingPoint,"{
  ""instruction"": ""配置流量过滤规则以阻止特定类型的流量。"",
  ""input"": ""规则名称: 'BlockMaliciousTraffic'，流量类型: 'Malicious'。"",
  ""output"": ""1. 登录到 Trend Micro TippingPoint 的 Web 界面。\n\n2. 导航到 `Security` > `Filtering` > `Rules`。\n\n3. 点击 `Create` 按钮以创建新的过滤规则。\n\n4. 配置规则参数:\n   a. 在 `Rule Name` 字段中输入 `BlockMaliciousTraffic`。\n   b. 在 `Traffic Type` 字段中选择 `Malicious`。\n\n5. 点击 `Save` 保存过滤规则。\n\n6. 导航到 `Security` > `Filtering` > `Rules`。\n\n7. 确保 `BlockMaliciousTraffic` 规则已启用并检查是否生效。\n\n8. 验证过滤规则配置:\n   ```
   Security > Filtering > Rules
   ```""
}
",,,
,Trend Micro TippingPoint,"{
  ""instruction"": ""配置攻击防御策略以防御各种攻击类型。"",
  ""input"": ""策略名称: 'DDoSProtection'，策略类型: 'DDoS'。"",
  ""output"": ""1. 登录到 Trend Micro TippingPoint 的 Web 界面。\n\n2. 导航到 `Security` > `Protection` > `Policies`。\n\n3. 点击 `Create` 按钮以创建新的防御策略。\n\n4. 配置策略参数:\n   a. 在 `Policy Name` 字段中输入 `DDoSProtection`。\n   b. 在 `Policy Type` 字段中选择 `DDoS`。\n\n5. 配置策略详细设置，如防御阈值和响应动作。\n\n6. 点击 `Save` 保存防御策略。\n\n7. 导航到 `Security` > `Protection` > `Policies`。\n\n8. 确保 `DDoSProtection` 策略已启用并验证效果。\n\n9. 验证防御策略配置:\n   ```
   Security > Protection > Policies
   ```""
}
",,,
,Trend Micro TippingPoint,"{
  ""instruction"": ""配置异常流量检测以识别异常行为。"",
  ""input"": ""检测名称: 'AnomalyDetection'，检测类型: 'Behavioral'。"",
  ""output"": ""1. 登录到 Trend Micro TippingPoint 的 Web 界面。\n\n2. 导航到 `Security` > `Anomaly Detection` > `Settings`。\n\n3. 点击 `Create` 按钮以创建新的异常检测配置。\n\n4. 配置检测参数:\n   a. 在 `Detection Name` 字段中输入 `AnomalyDetection`。\n   b. 在 `Detection Type` 字段中选择 `Behavioral`。\n\n5. 配置检测阈值和响应设置。\n\n6. 点击 `Save` 保存异常检测配置。\n\n7. 导航到 `Security` > `Anomaly Detection` > `Logs`。\n\n8. 确保异常检测已启用并检查检测日志。\n\n9. 验证异常检测配置:\n   ```
   Security > Anomaly Detection > Logs
   ```""
}
",,,
,Trend Micro TippingPoint,"{
  ""instruction"": ""配置事件响应以自动处理特定的安全事件。"",
  ""input"": ""响应名称: 'AutoMitigation'，触发条件: 'MaliciousTraffic'，响应动作: 'Throttle'。"",
  ""output"": ""1. 登录到 Trend Micro TippingPoint 的 Web 界面。\n\n2. 导航到 `Security` > `Event Response` > `Rules`。\n\n3. 点击 `Create` 按钮以创建新的事件响应规则。\n\n4. 配置规则参数:\n   a. 在 `Response Name` 字段中输入 `AutoMitigation`。\n   b. 在 `Trigger Condition` 字段中选择 `MaliciousTraffic`。\n   c. 在 `Response Action` 字段中选择 `Throttle`。\n\n5. 点击 `Save` 保存事件响应规则。\n\n6. 导航到 `Security` > `Event Response` > `Logs`。\n\n7. 确保 `AutoMitigation` 响应已生效并检查响应日志。\n\n8. 验证事件响应规则配置:\n   ```
   Security > Event Response > Logs
   ```""
}
",,,
,Arbor Networks APS (Advanced Protection System),"{
  ""instruction"": ""配置流量监控以开始流量分析。"",
  ""input"": ""接口: 'eth1'，监控级别: 'High'。"",
  ""output"": ""1. 登录到 Arbor Networks APS 的 Web 界面。\n\n2. 导航到 `Network` > `Interfaces`。\n\n3. 选择 `eth1` 接口并点击 `Edit`。\n\n4. 在 `Monitoring Level` 字段中选择 `High`。\n\n5. 点击 `Save` 保存配置。\n\n6. 导航到 `Monitoring` > `Traffic`。\n\n7. 确保流量监控已启动并验证 `eth1` 接口的流量数据。\n\n8. 验证流量监控配置:\n   ```
   Monitoring > Traffic
   ```""
}
",,,
,Arbor Networks APS (Advanced Protection System),"{
  ""instruction"": ""配置攻击防御策略以防御各种网络攻击。"",
  ""input"": ""策略名称: 'DDoSDefense'，策略类型: 'DDoS'。"",
  ""output"": ""1. 登录到 Arbor Networks APS 的 Web 界面。\n\n2. 导航到 `Security` > `Protection` > `Policies`。\n\n3. 点击 `Create` 按钮以创建新的防御策略。\n\n4. 配置策略参数:\n   a. 在 `Policy Name` 字段中输入 `DDoSDefense`。\n   b. 在 `Policy Type` 字段中选择 `DDoS`。\n\n5. 配置策略详细设置，包括阈值和响应动作。\n\n6. 点击 `Save` 保存防御策略。\n\n7. 导航到 `Security` > `Protection` > `Policies`。\n\n8. 确保 `DDoSDefense` 策略已启用并检查策略状态。\n\n9. 验证防御策略配置:\n   ```
   Security > Protection > Policies
   ```""
}
",,,
,Arbor Networks APS (Advanced Protection System),"{
  ""instruction"": ""配置异常流量检测以识别并响应异常流量模式。"",
  ""input"": ""检测名称: 'AnomalyDetection'，检测类型: 'Behavioral'。"",
  ""output"": ""1. 登录到 Arbor Networks APS 的 Web 界面。\n\n2. 导航到 `Security` > `Anomaly Detection` > `Settings`。\n\n3. 点击 `Create` 按钮以创建新的异常检测配置。\n\n4. 配置检测参数:\n   a. 在 `Detection Name` 字段中输入 `AnomalyDetection`。\n   b. 在 `Detection Type` 字段中选择 `Behavioral`。\n\n5. 配置检测阈值和响应设置。\n\n6. 点击 `Save` 保存异常检测配置。\n\n7. 导航到 `Security` > `Anomaly Detection` > `Logs`。\n\n8. 确保异常检测已启用并检查检测日志。\n\n9. 验证异常检测配置:\n   ```
   Security > Anomaly Detection > Logs
   ```""
}
",,,
,Arbor Networks APS (Advanced Protection System),"{
  ""instruction"": ""配置事件响应以自动处理检测到的安全事件。"",
  ""input"": ""响应名称: 'AutoMitigation'，触发条件: 'HighTraffic'，响应动作: 'RateLimit'。"",
  ""output"": ""1. 登录到 Arbor Networks APS 的 Web 界面。\n\n2. 导航到 `Security` > `Event Response` > `Rules`。\n\n3. 点击 `Create` 按钮以创建新的事件响应规则。\n\n4. 配置规则参数:\n   a. 在 `Response Name` 字段中输入 `AutoMitigation`。\n   b. 在 `Trigger Condition` 字段中选择 `HighTraffic`。\n   c. 在 `Response Action` 字段中选择 `RateLimit`。\n\n5. 点击 `Save` 保存事件响应规则。\n\n6. 导航到 `Security` > `Event Response` > `Logs`。\n\n7. 确保 `AutoMitigation` 响应已生效并检查响应日志。\n\n8. 验证事件响应规则配置:\n   ```
   Security > Event Response > Logs
   ```""
}
",,,
,Arbor Networks APS (Advanced Protection System),"{
  ""instruction"": ""配置流量分析以监控和分析网络流量模式。"",
  ""input"": ""分析名称: 'TrafficAnalysis'，分析类型: 'TrafficFlow'。"",
  ""output"": ""1. 登录到 Arbor Networks APS 的 Web 界面。\n\n2. 导航到 `Analytics` > `Traffic Analysis` > `Settings`。\n\n3. 点击 `Create` 按钮以创建新的流量分析配置。\n\n4. 配置分析参数:\n   a. 在 `Analysis Name` 字段中输入 `TrafficAnalysis`。\n   b. 在 `Analysis Type` 字段中选择 `TrafficFlow`。\n\n5. 配置分析设置，包括数据采集频率和报告选项。\n\n6. 点击 `Save` 保存流量分析配置。\n\n7. 导航到 `Analytics` > `Traffic Analysis` > `Reports`。\n\n8. 确保流量分析已启用并检查生成的报告。\n\n9. 验证流量分析配置:\n   ```
   Analytics > Traffic Analysis > Reports
   ```""
}
",,,
,Forcepoint Next Generation Firewall,"{
  ""instruction"": ""配置基础防火墙策略以控制网络流量。"",
  ""input"": ""策略名称: 'BaseFirewallPolicy'，源地址: '10.0.0.0/24'，目标地址: '192.168.1.0/24'，服务: 'Any'。"",
  ""output"": ""1. 登录到 Forcepoint Next Generation Firewall 的管理界面。\n\n2. 导航到 `Policy` > `Firewall Rules`。\n\n3. 点击 `Add Rule` 按钮以创建新的防火墙规则。\n\n4. 配置规则参数:\n   a. 在 `Rule Name` 字段中输入 `BaseFirewallPolicy`。\n   b. 在 `Source Address` 字段中输入 `10.0.0.0/24`。\n   c. 在 `Destination Address` 字段中输入 `192.168.1.0/24`。\n   d. 在 `Service` 字段中选择 `Any`。\n\n5. 配置允许或拒绝的动作。\n\n6. 点击 `Save` 保存防火墙策略。\n\n7. 导航到 `Policy` > `Firewall Rules`。\n\n8. 确保 `BaseFirewallPolicy` 策略已启用并检查策略列表。\n\n9. 验证防火墙策略配置:\n   ```
   Policy > Firewall Rules
   ```""
}
",,,
,Forcepoint Next Generation Firewall,"{
  ""instruction"": ""配置VPN隧道以实现安全的远程访问。"",
  ""input"": ""隧道名称: 'RemoteVPN'，隧道类型: 'IPsec'，远程网关: '203.0.113.1'，本地网关: '198.51.100.1'。"",
  ""output"": ""1. 登录到 Forcepoint Next Generation Firewall 的管理界面。\n\n2. 导航到 `VPN` > `Site-to-Site`。\n\n3. 点击 `Add` 按钮以创建新的VPN隧道。\n\n4. 配置隧道参数:\n   a. 在 `Tunnel Name` 字段中输入 `RemoteVPN`。\n   b. 在 `Tunnel Type` 字段中选择 `IPsec`。\n   c. 在 `Remote Gateway` 字段中输入 `203.0.113.1`。\n   d. 在 `Local Gateway` 字段中输入 `198.51.100.1`。\n\n5. 配置加密和认证设置。\n\n6. 点击 `Save` 保存VPN配置。\n\n7. 导航到 `VPN` > `Site-to-Site`。\n\n8. 确保 `RemoteVPN` 隧道已启用并检查隧道状态。\n\n9. 验证VPN隧道配置:\n   ```
   VPN > Site-to-Site
   ```""
}
",,,
,Forcepoint Next Generation Firewall,"{
  ""instruction"": ""配置IDS/IPS以检测和阻止恶意流量。"",
  ""input"": ""检测名称: 'IDS_Protection'，检测类型: 'Signature-Based'，策略: 'Prevent'。"",
  ""output"": ""1. 登录到 Forcepoint Next Generation Firewall 的管理界面。\n\n2. 导航到 `Security` > `IDS/IPS`。\n\n3. 点击 `Add` 按钮以创建新的检测配置。\n\n4. 配置检测参数:\n   a. 在 `Detection Name` 字段中输入 `IDS_Protection`。\n   b. 在 `Detection Type` 字段中选择 `Signature-Based`。\n   c. 在 `Policy` 字段中选择 `Prevent`。\n\n5. 配置具体的检测规则和响应动作。\n\n6. 点击 `Save` 保存IDS/IPS配置。\n\n7. 导航到 `Security` > `IDS/IPS`。\n\n8. 确保 `IDS_Protection` 检测已启用并检查检测状态。\n\n9. 验证IDS/IPS配置:\n   ```
   Security > IDS/IPS
   ```""
}
",,,
,Forcepoint Next Generation Firewall,"{
  ""instruction"": ""配置应用程序控制以限制或允许特定应用程序流量。"",
  ""input"": ""控制名称: 'AppControl'，应用程序: 'Facebook'，动作: 'Block'。"",
  ""output"": ""1. 登录到 Forcepoint Next Generation Firewall 的管理界面。\n\n2. 导航到 `Security` > `Application Control`。\n\n3. 点击 `Add` 按钮以创建新的应用程序控制规则。\n\n4. 配置控制参数:\n   a. 在 `Control Name` 字段中输入 `AppControl`。\n   b. 在 `Application` 字段中选择 `Facebook`。\n   c. 在 `Action` 字段中选择 `Block`。\n\n5. 点击 `Save` 保存应用程序控制配置。\n\n6. 导航到 `Security` > `Application Control`。\n\n7. 确保 `AppControl` 规则已启用并检查规则列表。\n\n8. 验证应用程序控制配置:\n   ```
   Security > Application Control
   ```""
}
",,,
,Forcepoint Next Generation Firewall,"{
  ""instruction"": ""配置日志记录和报告以跟踪和分析安全事件。"",
  ""input"": ""日志级别: 'High'，报告类型: 'Daily'。"",
  ""output"": ""1. 登录到 Forcepoint Next Generation Firewall 的管理界面。\n\n2. 导航到 `Monitoring` > `Logging`。\n\n3. 点击 `Settings` 以配置日志记录选项。\n\n4. 配置日志参数:\n   a. 在 `Log Level` 字段中选择 `High`。\n   b. 在 `Report Type` 字段中选择 `Daily`。\n\n5. 点击 `Save` 保存日志配置。\n\n6. 导航到 `Monitoring` > `Reports`。\n\n7. 确保日志记录和报告设置已启用并检查生成的报告。\n\n8. 验证日志记录和报告配置:\n   ```
   Monitoring > Reports
   ```""
}
",,,
,Bitdefender GravityZone Security for Network,"{
  ""instruction"": ""配置网络防火墙规则以控制进入和离开网络的流量。"",
  ""input"": ""规则名称: 'Allow_HTTP'，源地址: 'Any'，目标地址: '192.168.1.0/24'，服务: 'HTTP'，动作: 'Allow'。"",
  ""output"": ""1. 登录到 Bitdefender GravityZone 控制台。\n\n2. 导航到 `Network Security` > `Firewall`。\n\n3. 点击 `Add Rule` 按钮以创建新的防火墙规则。\n\n4. 配置规则参数:\n   a. 在 `Rule Name` 字段中输入 `Allow_HTTP`。\n   b. 在 `Source Address` 字段中选择 `Any`。\n   c. 在 `Destination Address` 字段中输入 `192.168.1.0/24`。\n   d. 在 `Service` 字段中选择 `HTTP`。\n   e. 在 `Action` 字段中选择 `Allow`。\n\n5. 点击 `Save` 保存防火墙规则。\n\n6. 导航到 `Network Security` > `Firewall`。\n\n7. 确保 `Allow_HTTP` 规则已启用并检查规则列表。\n\n8. 验证防火墙规则配置:\n   ```
   Network Security > Firewall
   ```""
}
",,,
,Bitdefender GravityZone Security for Network,"{
  ""instruction"": ""配置IPS策略以检测和防御网络中的入侵行为。"",
  ""input"": ""策略名称: 'DefaultIPS'，检测模式: 'Active'，策略类型: 'Predefined'。"",
  ""output"": ""1. 登录到 Bitdefender GravityZone 控制台。\n\n2. 导航到 `Network Security` > `Intrusion Prevention`。\n\n3. 点击 `Add Policy` 按钮以创建新的IPS策略。\n\n4. 配置策略参数:\n   a. 在 `Policy Name` 字段中输入 `DefaultIPS`。\n   b. 在 `Detection Mode` 字段中选择 `Active`。\n   c. 在 `Policy Type` 字段中选择 `Predefined`。\n\n5. 点击 `Save` 保存IPS策略。\n\n6. 导航到 `Network Security` > `Intrusion Prevention`。\n\n7. 确保 `DefaultIPS` 策略已启用并检查策略列表。\n\n8. 验证IPS策略配置:\n   ```
   Network Security > Intrusion Prevention
   ```""
}
",,,
,Bitdefender GravityZone Security for Network,"{
  ""instruction"": ""配置VPN连接以实现安全的远程访问。"",
  ""input"": ""连接名称: 'RemoteVPN'，VPN类型: 'IPsec'，远程网关: '203.0.113.1'，本地网关: '198.51.100.1'。"",
  ""output"": ""1. 登录到 Bitdefender GravityZone 控制台。\n\n2. 导航到 `Network Security` > `VPN`。\n\n3. 点击 `Add Connection` 按钮以创建新的VPN连接。\n\n4. 配置连接参数:\n   a. 在 `Connection Name` 字段中输入 `RemoteVPN`。\n   b. 在 `VPN Type` 字段中选择 `IPsec`。\n   c. 在 `Remote Gateway` 字段中输入 `203.0.113.1`。\n   d. 在 `Local Gateway` 字段中输入 `198.51.100.1`。\n\n5. 配置加密和认证设置。\n\n6. 点击 `Save` 保存VPN连接配置。\n\n7. 导航到 `Network Security` > `VPN`。\n\n8. 确保 `RemoteVPN` 连接已启用并检查连接状态。\n\n9. 验证VPN连接配置:\n   ```
   Network Security > VPN
   ```""
}
",,,
,Bitdefender GravityZone Security for Network,"{
  ""instruction"": ""配置应用程序控制以限制或允许特定应用程序的网络流量。"",
  ""input"": ""控制名称: 'AppControl'，应用程序: 'Skype'，动作: 'Block'。"",
  ""output"": ""1. 登录到 Bitdefender GravityZone 控制台。\n\n2. 导航到 `Network Security` > `Application Control`。\n\n3. 点击 `Add Rule` 按钮以创建新的应用程序控制规则。\n\n4. 配置控制参数:\n   a. 在 `Control Name` 字段中输入 `AppControl`。\n   b. 在 `Application` 字段中选择 `Skype`。\n   c. 在 `Action` 字段中选择 `Block`。\n\n5. 点击 `Save` 保存应用程序控制规则。\n\n6. 导航到 `Network Security` > `Application Control`。\n\n7. 确保 `AppControl` 规则已启用并检查规则列表。\n\n8. 验证应用程序控制配置:\n   ```
   Network Security > Application Control
   ```""
}
",,,
,Bitdefender GravityZone Security for Network,"{
  ""instruction"": ""配置日志记录和报告以跟踪和分析网络安全事件。"",
  ""input"": ""日志级别: 'High'，报告频率: 'Daily'。"",
  ""output"": ""1. 登录到 Bitdefender GravityZone 控制台。\n\n2. 导航到 `Monitoring` > `Logging`。\n\n3. 点击 `Settings` 按钮以配置日志记录选项。\n\n4. 配置日志参数:\n   a. 在 `Log Level` 字段中选择 `High`。\n   b. 在 `Report Frequency` 字段中选择 `Daily`。\n\n5. 点击 `Save` 保存日志配置。\n\n6. 导航到 `Monitoring` > `Reports`。\n\n7. 确保日志记录和报告设置已启用并检查生成的报告。\n\n8. 验证日志记录和报告配置:\n   ```
   Monitoring > Reports
   ```""
}
",,,
,AlienVault USM (Unified Security Management),"{
  ""instruction"": ""配置资产发现以识别网络中的设备和系统。"",
  ""input"": ""扫描范围: '192.168.1.0/24'，扫描类型: 'Full Network Scan'。"",
  ""output"": ""1. 登录到 AlienVault USM 控制台。\n\n2. 导航到 `Configuration` > `Assets` > `Discovery`。\n\n3. 点击 `Add New Discovery` 按钮以创建新的资产发现任务。\n\n4. 配置发现任务参数:\n   a. 在 `Scan Range` 字段中输入 `192.168.1.0/24`。\n   b. 在 `Scan Type` 字段中选择 `Full Network Scan`。\n\n5. 点击 `Save` 保存资产发现配置。\n\n6. 导航到 `Configuration` > `Assets` > `Discovery`。\n\n7. 确保新创建的资产发现任务已启用并检查扫描结果。\n\n8. 验证资产发现配置:\n   ```
   Configuration > Assets > Discovery
   ```""
}
",,,
,AlienVault USM (Unified Security Management),"{
  ""instruction"": ""配置入侵检测系统以监控网络流量和检测恶意活动。"",
  ""input"": ""IDS 类型: 'Snort'，规则集: 'ET Pro'，动作: 'Alert'。"",
  ""output"": ""1. 登录到 AlienVault USM 控制台。\n\n2. 导航到 `Configuration` > `Sensors` > `IDS`。\n\n3. 点击 `Edit` 按钮以配置IDS设置。\n\n4. 配置IDS参数:\n   a. 在 `IDS Type` 字段中选择 `Snort`。\n   b. 在 `Rule Set` 字段中选择 `ET Pro`。\n   c. 在 `Action` 字段中选择 `Alert`。\n\n5. 点击 `Save` 保存IDS配置。\n\n6. 导航到 `Configuration` > `Sensors` > `IDS`。\n\n7. 确保IDS配置已启用并检查检测到的事件。\n\n8. 验证IDS配置:\n   ```
   Configuration > Sensors > IDS
   ```""
}
",,,
,AlienVault USM (Unified Security Management),"{
  ""instruction"": ""配置日志收集以集中管理和分析网络设备日志。"",
  ""input"": ""日志源: 'Syslog'，日志服务器: '192.168.1.100'，端口: '514'。"",
  ""output"": ""1. 登录到 AlienVault USM 控制台。\n\n2. 导航到 `Configuration` > `Log Collection` > `Syslog`。\n\n3. 点击 `Add Source` 按钮以添加新的日志源。\n\n4. 配置日志源参数:\n   a. 在 `Log Source` 字段中选择 `Syslog`。\n   b. 在 `Log Server` 字段中输入 `192.168.1.100`。\n   c. 在 `Port` 字段中输入 `514`。\n\n5. 点击 `Save` 保存日志收集配置。\n\n6. 导航到 `Configuration` > `Log Collection` > `Syslog`。\n\n7. 确保新的日志源已启用并检查收集到的日志数据。\n\n8. 验证日志收集配置:\n   ```
   Configuration > Log Collection > Syslog
   ```""
}
",,,
,AlienVault USM (Unified Security Management),"{
  ""instruction"": ""配置事件管理以处理和分析安全事件。"",
  ""input"": ""事件类型: 'Malware', 规则集: 'Custom Rules', 动作: 'Generate Alert'。"",
  ""output"": ""1. 登录到 AlienVault USM 控制台。\n\n2. 导航到 `Configuration` > `Event Management` > `Rules`。\n\n3. 点击 `Add Rule` 按钮以创建新的事件规则。\n\n4. 配置事件管理规则参数:\n   a. 在 `Event Type` 字段中选择 `Malware`。\n   b. 在 `Rule Set` 字段中选择 `Custom Rules`。\n   c. 在 `Action` 字段中选择 `Generate Alert`。\n\n5. 点击 `Save` 保存事件管理规则。\n\n6. 导航到 `Configuration` > `Event Management` > `Rules`。\n\n7. 确保新规则已启用并检查生成的警报。\n\n8. 验证事件管理规则:\n   ```
   Configuration > Event Management > Rules
   ```""
}
",,,
,AlienVault USM (Unified Security Management),"{
  ""instruction"": ""配置合规性监控以确保系统符合安全合规性要求。"",
  ""input"": ""合规性标准: 'PCI-DSS', 监控类型: 'Compliance Report', 频率: 'Monthly'。"",
  ""output"": ""1. 登录到 AlienVault USM 控制台。\n\n2. 导航到 `Compliance` > `Compliance Monitoring`。\n\n3. 点击 `Add Compliance Standard` 按钮以创建新的合规性监控任务。\n\n4. 配置合规性监控参数:\n   a. 在 `Compliance Standard` 字段中选择 `PCI-DSS`。\n   b. 在 `Monitoring Type` 字段中选择 `Compliance Report`。\n   c. 在 `Frequency` 字段中选择 `Monthly`。\n\n5. 点击 `Save` 保存合规性监控配置。\n\n6. 导航到 `Compliance` > `Compliance Monitoring`。\n\n7. 确保新的合规性监控任务已启用并检查生成的报告。\n\n8. 验证合规性监控配置:\n   ```
   Compliance > Compliance Monitoring
   ```""
}
",,,
,McAfee Network Security Platform,"{
  ""instruction"": ""配置资产发现以识别网络中的设备。"",
  ""input"": ""扫描范围: '192.168.1.0/24'，扫描频率: 'Daily'。"",
  ""output"": ""1. 登录到 McAfee Network Security Platform 管理界面。\n\n2. 导航到 `Assets` > `Discovery`。\n\n3. 点击 `Add Discovery` 按钮以创建新的资产发现任务。\n\n4. 配置发现任务参数:\n   a. 在 `Scan Range` 字段中输入 `192.168.1.0/24`。\n   b. 在 `Scan Frequency` 字段中选择 `Daily`。\n\n5. 点击 `Save` 保存资产发现配置。\n\n6. 导航到 `Assets` > `Discovery`。\n\n7. 确保新创建的资产发现任务已启用并检查扫描结果。\n\n8. 验证资产发现配置:\n   ```
   Assets > Discovery
   ```""
}
",,,
,McAfee Network Security Platform,"{
  ""instruction"": ""配置 IDS 策略以监控网络流量并检测异常活动。"",
  ""input"": ""策略名称: 'Default IDS Policy'，检测模式: 'Active'，规则集: 'McAfee'。"",
  ""output"": ""1. 登录到 McAfee Network Security Platform 管理界面。\n\n2. 导航到 `Policies` > `Intrusion Detection`。\n\n3. 点击 `Create Policy` 按钮以创建新的 IDS 策略。\n\n4. 配置 IDS 策略参数:\n   a. 在 `Policy Name` 字段中输入 `Default IDS Policy`。\n   b. 在 `Detection Mode` 字段中选择 `Active`。\n   c. 在 `Rule Set` 字段中选择 `McAfee`。\n\n5. 点击 `Save` 保存 IDS 策略。\n\n6. 导航到 `Policies` > `Intrusion Detection`。\n\n7. 确保新的 IDS 策略已启用并检查检测到的事件。\n\n8. 验证 IDS 策略配置:\n   ```
   Policies > Intrusion Detection
   ```""
}
",,,
,McAfee Network Security Platform,"{
  ""instruction"": ""配置日志收集以集中管理和分析网络设备日志。"",
  ""input"": ""日志源: 'Syslog'，日志服务器: '192.168.1.100'，端口: '514'。"",
  ""output"": ""1. 登录到 McAfee Network Security Platform 管理界面。\n\n2. 导航到 `Logs` > `Syslog Configuration`。\n\n3. 点击 `Add Server` 按钮以添加新的日志服务器。\n\n4. 配置日志服务器参数:\n   a. 在 `Log Source` 字段中选择 `Syslog`。\n   b. 在 `Server Address` 字段中输入 `192.168.1.100`。\n   c. 在 `Port` 字段中输入 `514`。\n\n5. 点击 `Save` 保存日志服务器配置。\n\n6. 导航到 `Logs` > `Syslog Configuration`。\n\n7. 确保日志服务器配置已启用并检查日志数据。\n\n8. 验证日志收集配置:\n   ```
   Logs > Syslog Configuration
   ```""
}
",,,
,McAfee Network Security Platform,"{
  ""instruction"": ""配置事件管理以处理和分析安全事件。"",
  ""input"": ""事件类型: 'Malware', 规则集: 'McAfee Custom', 动作: 'Alert'。"",
  ""output"": ""1. 登录到 McAfee Network Security Platform 管理界面。\n\n2. 导航到 `Event Management` > `Rules`。\n\n3. 点击 `Add Rule` 按钮以创建新的事件规则。\n\n4. 配置事件规则参数:\n   a. 在 `Event Type` 字段中选择 `Malware`。\n   b. 在 `Rule Set` 字段中选择 `McAfee Custom`。\n   c. 在 `Action` 字段中选择 `Alert`。\n\n5. 点击 `Save` 保存事件规则。\n\n6. 导航到 `Event Management` > `Rules`。\n\n7. 确保新规则已启用并检查生成的警报。\n\n8. 验证事件管理规则:\n   ```
   Event Management > Rules
   ```""
}
",,,
,McAfee Network Security Platform,"{
  ""instruction"": ""配置合规性监控以确保系统符合安全合规性要求。"",
  ""input"": ""合规性标准: 'PCI-DSS', 监控类型: 'Compliance Report', 频率: 'Monthly'。"",
  ""output"": ""1. 登录到 McAfee Network Security Platform 管理界面。\n\n2. 导航到 `Compliance` > `Monitoring`。\n\n3. 点击 `Add Compliance Task` 按钮以创建新的合规性监控任务。\n\n4. 配置合规性监控参数:\n   a. 在 `Compliance Standard` 字段中选择 `PCI-DSS`。\n   b. 在 `Monitoring Type` 字段中选择 `Compliance Report`。\n   c. 在 `Frequency` 字段中选择 `Monthly`。\n\n5. 点击 `Save` 保存合规性监控任务。\n\n6. 导航到 `Compliance` > `Monitoring`。\n\n7. 确保新的合规性监控任务已启用并检查生成的报告。\n\n8. 验证合规性监控配置:\n   ```
   Compliance > Monitoring
   ```""
}
",,,
